datum name,region of use,datum code,ellipsoid code,dx,dy,dz,ex,ey,ez,sat,epsg
Astronomical Station 1952,Marcus Island,,IN,124,-234,-25,25,25,25,1,
Bellevue (IGN),Efate & Erromango Islands,,IN,-127,-769,472,20,20,20,3,
Bissau,Guinea-Bissau,,IN,-173,253,27,25,25,25,2,
Bogota Observatory,Colombia,,IN,307,304,-318,6,5,6,7,
Camp Area Astro,Antarctica (McMurdo Camp Area),,IN,-104,-129,239,-1,-1,-1,0,
Campo Inchauspe,Argentina,,IN,-148,136,90,5,5,5,20,
Canton Astro 1966,Phoenix Islands,,IN,298,-304,-375,15,15,15,4,
Chatham Island Astro 1971,New Zealand (Chatham Island),,IN,175,-38,113,15,15,15,4,
Chua Astro,Paraguay,,IN,-134,229,-29,6,9,5,6,
Corrego Alegre,Brazil,,IN,-206,172,-6,5,3,5,17,
DOS 1968,New Georgia Islands (Gizo Island),,IN,230,-199,-752,25,25,25,1,
Easter Island 1967,Easter Island,,IN,211,147,111,25,25,25,1,
European 1950,Cyprus,,IN,-104,-101,-140,15,15,15,4,
European 1950,Egypt,,IN,-130,-117,-151,6,8,8,14,
European 1950,England; Channel Islands; Scotland; Shetland Islands,,IN,-86,-96,-120,3,3,3,40,
European 1950,England; Ireland; Scotland; Shetland Islands,,IN,-86,-96,-120,3,3,3,47,
European 1950,Finland; Norway,,IN,-87,-95,-120,3,5,3,20,
European 1950,Greece,,IN,-84,-95,-130,25,25,25,2,
European 1950,Iran,,IN,-117,-132,-164,9,12,11,27,
European 1950,Italy (Sardinia),,IN,-97,-103,-120,25,25,25,2,
European 1950,Italy (Sicily),,IN,-97,-88,-135,20,20,20,3,
European 1950,Malta,,IN,-107,-88,-149,25,25,25,1,
European 1950,MEAN FOR Austria; Belgium; Denmark; Finland; France; W Germany; Gibraltar; Greece; Italy; Luxembourg; Netherlands; Norway; Portugal; Spain; Sweden; Switzerland,,IN,-87,-98,-121,3,8,5,85,
European 1950,MEAN FOR Austria; Denmark; France; W Germany; Netherlands; Switzerland,,IN,-87,-96,-120,3,3,3,52,
European 1950,MEAN FOR Iraq; Israel; Jordan; Lebanon; Kuwait; Saudi Arabia; Syria,,IN,-103,-106,-141,-1,-1,-1,0,
European 1950,Portugal; Spain,,IN,-84,-107,-120,5,6,3,18,
European 1950,Tunisia,,IN,-112,-77,-145,25,25,25,4,
European 1979,MEAN FOR Austria; Finland; Netherlands; Norway; Spain; Sweden; Switzerland,ED79,IN,-86,-98,-119,3,3,3,22,
Gan 1970,Republic of Maldives,,IN,-133,-321,50,25,25,25,1,
Geodetic Datum 1949,New Zealand,,IN,84,-22,209,5,3,5,14,
Graciosa Base SW 1948,Azores (Faial; Graciosa; Pico; Sao Jorge; Terceira),,IN,-104,167,-38,3,3,3,5,
GUX 1 Astro,Guadalcanal Island,,IN,252,-209,-751,25,25,25,1,
Herat North,Afghanistan,,IN,-333,-222,114,-1,-1,-1,0,
Hjorsey 1955,Iceland,,IN,-73,46,-86,3,3,6,6,
Hong Kong 1963,Hong Kong,,IN,-156,-271,-189,25,25,25,2,
Hu-Tzu-Shan,Taiwan,,IN,-637,-549,-203,15,15,15,4,
ISTS 061 Astro 1968,South Georgia Islands,,IN,-794,119,-298,25,25,25,1,
ISTS 073 Astro 1969,Diego Garcia,,IN,208,-435,-229,25,25,25,2,
Johnston Island 1961,Johnston Island,,IN,189,-79,-202,25,25,25,1,
Kerguelen Island 1949,Kerguelen Island,,IN,145,-187,103,25,25,25,1,
